"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ENSMUSG00000031444",11647.0914189359,-2.40880476041698,0.0647976297889626,6.70549594326848e-304,1.07442161498991e-299
"ENSMUSG00000062345",7923.53105987274,2.18452804470508,0.0613883292963484,1.58855802100722e-278,1.27267325852993e-274
"ENSMUSG00000035783",5883.28584871624,-3.20577514376653,0.0918623056482763,4.5738225415115e-268,2.44287861942129e-264
"ENSMUSG00000042985",4074.63047530894,-2.40377340738119,0.069514358376758,3.53778307235771e-263,1.41714745420969e-259
"ENSMUSG00000029084",4631.22051540453,-1.95690900526998,0.0603733752163762,1.28650810813992e-231,4.12274388334518e-228
"ENSMUSG00000093930",4912.74426429513,-1.90641561696173,0.0608962947314366,2.93648043132633e-216,7.84187099185697e-213
"ENSMUSG00000004296",2366.01380603011,-2.3912994564198,0.0776315525133453,2.24607830911578e-209,5.14127324956602e-206
"ENSMUSG00000040522",1064.655152234,-2.76513919459787,0.0903459681378366,6.31432827017647e-207,1.26468102341297e-203
"ENSMUSG00000016283",2757.64914766132,-2.2088525932768,0.0733641434992232,3.17616612946886e-200,5.65463443249773e-197
"ENSMUSG00000003849",778.138266257004,3.74203894471462,0.127190416861478,6.02724027778626e-191,9.65744709709693e-188
"ENSMUSG00000022122",1523.94779561585,2.58802628892721,0.08830553394757,6.36176806109622e-190,9.26678269481317e-187
"ENSMUSG00000027611",4704.1217682104,1.72526511910377,0.0592012266127179,8.55445337731572e-188,1.14223338720608e-184
"ENSMUSG00000031906",1200.09895173006,-2.580402987644,0.0926253409408676,5.27789825866505e-172,6.50521259989155e-169
"ENSMUSG00000019122",12965.8195694565,-2.17688622532775,0.0782935295867793,2.2678367977167e-171,2.59553921498676e-168
"ENSMUSG00000059743",2195.54224446754,-2.32365331828828,0.0835781688217801,3.01742509205422e-171,3.22321348333232e-168
"ENSMUSG00000043110",1633.92648291731,-2.4658998196138,0.0903802505463957,4.68349936972501e-165,4.69023190006899e-162
"ENSMUSG00000001467",4807.36634235868,-1.68884513649029,0.0623362662430988,9.97946928512795e-163,9.40594331503559e-160
"ENSMUSG00000079419",2020.06485523532,-2.2189900273831,0.0822325460523747,1.62883113407167e-161,1.44993118117946e-158
